ca-cd 308.19 1.456   # SOURCE1_SOURCE5 2424 0.0121
ca-ce 286.51 1.476   # SOURCE1_SOURCE5 1750 0.0089
ca-cf 286.51 1.476   # SOURCE1_SOURCE5 1750 0.0089
ca-cg 334.12 1.433   # SOURCE1_SOURCE5 318 0.0029
ca-ch 334.12 1.433   # SOURCE1_SOURCE5 318 0.0029
ca-cl 181.97 1.750   # SOURCE1_SOURCE5 2919 0.0059
ca-cp 368.44 1.406   # CORR_SOURCE5 2042 0.0049
ca-cq 368.44 1.406   # CORR_SOURCE5 2042 0.0049
ca-cx 273.13 1.490   # SOURCE1_SOURCE5 165 0.0091
ca-cy 250.49 1.515   # SOURCE4_SOURCE5 35 0.0055
ca-f 353.59 1.349   # SOURCE1_SOURCE5 1239 0.0057
ca-h4 390.15 1.089   # SOURCE3_SOURCE5 2643 0.0010
ca-h5 392.37 1.088   # SOURCE3_SOURCE5 299 0.0007
ca-ha 395.72 1.086   # SOURCE3_SOURCE5 65456 0.0010
ca-i 108.27 2.129   # SOURCE1_SOURCE5 61 0.0076
ca-n1 420.66 1.335   # SOURCE3_SOURCE5 6 0.0078
ca-n2 476.53 1.303   # SOURCE4 7 0.0058
ca-n 315.21 1.412   # SOURCE3_SOURCE5 1254 0.0090
ca-n4 244.03 1.484   # SOURCE1_SOURCE5 28 0.0065
ca-na 349.52 1.384   # SOURCE1_SOURCE5 2751 0.0095
ca-nb 414.24 1.339   # SOURCE3_SOURCE5 6806 0.0055
ca-nc 394.62 1.352   # SOURCE1_SOURCE5 2672 0.0030
ca-nd 394.62 1.352   # SOURCE1_SOURCE5 2672 0.0030
ca-ne 320.07 1.408   # SOURCE1_SOURCE5 276 0.0093
ca-nf 320.07 1.408   # SOURCE1_SOURCE5 276 0.0093
ca-nh 347.06 1.386   # SOURCE1_SOURCE5 2785 0.0134
ca-no 257.38 1.469   # SOURCE1_SOURCE5 454 0.0049
ca-o 606.45 1.236   # SOURCE4_SOURCE5 17 0.0088
ca-oh 365.55 1.364   # SOURCE1_SOURCE5 3637 0.0062
ca-os 357.53 1.370   # SOURCE1_SOURCE5 6900 0.0064
ca-p2 176.94 1.840   # SOUECE3 1
ca-p3 184.18 1.826   # SOURCE1_SOURCE5 156 0.0180
ca-p4 194.74 1.806   # SOUECE3 1
ca-p5 200.84 1.795   # SOURCE1_SOURCE5 577 0.0028
ca-pe 182.48 1.829   # SOURCE3 10 0.0042
ca-pf 182.48 1.829   # SOURCE3 10 0.0042
ca-px 184.54 1.825   # SOURCE3 5 0.0168
ca-py 189.18 1.816   # SOURCE4_SOURCE5 34 0.0098
ca-s 244.02 1.739   # SOURCE3 2
ca-s4 211.54 1.788   # SOURCE1 51 0.0048
ca-s6 224.85 1.767   # SOURCE1_SOURCE5 258 0.0041
ca-sh 215.91 1.781   # SOURCE4_SOURCE5 40 0.0053
ca-ss 216.10 1.781   # SOURCE1_SOURCE5 1016 0.0068
ca-sx 190.35 1.825   # SOURCE4_SOURCE5 90 0.0050
ca-sy 209.78 1.791   # SOURCE3_SOURCE5 703 0.0076
c-c1 303.33 1.460   # SOUECE3 1
c-c2 368.17 1.406   # SOURCE3 2 0.0370
c-c 224.38 1.548   # SOURCE1_SOURCE5 254 0.0090
c-c3 243.22 1.524   # SOURCE1_SOURCE5 12697 0.0077
c-ca 272.66 1.491   # SOURCE1_SOURCE5 4357 0.0085
c-cc 295.35 1.468   # SOURCE3_SOURCE5 1864 0.0130
cc-cc 340.18 1.428   # SOURCE1_SOURCE5 4559 0.0096
cc-cd 416.13 1.373   # SOURCE3_SOURCE5 8451 0.0091
cc-ce 309.82 1.454   # CORR_SOURCE5 396 0.0089
cc-cf 427.69 1.366   # CORR_SOURCE5 156 0.0107
cc-cg 342.76 1.426   # SOURCE1_SOURCE5 109 0.0049
cc-ch 341.16 1.427   # SOURCE1 560
cc-cl 190.08 1.735   # CORR_SOURCE5 137 0.0076
cc-cx 290.53 1.472   # CORR_SOURCE5 37 0.0035
c-cd 295.35 1.468   # SOURCE3_SOURCE5 1864 0.0130
c-ce 280.40 1.482   # SOURCE1_SOURCE5 3022 0.0115
c-cf 280.40 1.482   # SOURCE1_SOURCE5 3022 0.0115
cc-f 364.99 1.341   # SOURCE4_SOURCE5 70 0.0039
c-cg 312.91 1.451   # SOURCE3_SOURCE5 11 0.0089
c-ch 312.91 1.451   # SOURCE3_SOURCE5 11 0.0089
cc-h4 403.88 1.082   # SOURCE3_SOURCE5 4457 0.0016
cc-h5 403.49 1.082   # SOURCE3_SOURCE5 879 0.0012
cc-ha 400.06 1.084   # SOURCE3_SOURCE5 4706 0.0018
c-cl 156.23 1.803   # SOURCE3_SOURCE5 16 0.0187
cc-n2 500.74 1.290   # CORR_SOURCE5 156 0.0074
cc-n 353.83 1.381   # SOURCE3_SOURCE5 1142 0.0085
cc-n4 236.72 1.493   # SOURCE4 7 0.0148
cc-na 354.49 1.380   # SOURCE3_SOURCE5 6739 0.0088
cc-nc 369.10 1.369   # SOURCE1_SOURCE5 2269 0.0086
cc-nd 450.71 1.317   # SOURCE3_SOURCE5 4612 0.0083
cc-ne 356.61 1.379   # SOURCE4_SOURCE5 82 0.0119
cc-nf 485.08 1.298   # CORR_SOURCE5 41 0.0113
cc-nh 363.47 1.373   # SOURCE3_SOURCE5 976 0.0106
cc-no 296.62 1.429   # SOURCE4_SOURCE5 386 0.0074
cc-oh 389.45 1.347   # CORR_SOURCE5 248 0.0073
cc-os 367.90 1.362   # SOURCE3_SOURCE5 1859 0.0083
cc-pd 240.75 1.733   # SOURCE3 84 0.0161
cc-sh 223.28 1.769   # SOURCE4_SOURCE5 22 0.0030
cc-ss 231.98 1.756   # SOURCE3_SOURCE5 2011 0.0134
cc-sx 198.26 1.811   # SOURCE4_SOURCE5 44 0.0033
cc-sy 214.05 1.784   # CORR_SOURCE5 73 0.0082
c-cu 360.20 1.412   # SOURCE2 1
c-cx 265.90 1.498   # SOURCE1_SOURCE5 246 0.0109
c-cy 222.38 1.551   # SOURCE1_SOURCE5 374 0.0059
cd-cd 340.18 1.428   # SOURCE1_SOURCE5 4559 0.0096
cd-ce 427.69 1.366   # CORR_SOURCE5 156 0.0107
cd-cf 309.82 1.454   # CORR_SOURCE5 396 0.0089
cd-cg 341.16 1.427   # SOURCE1 560
cd-ch 342.76 1.426   # SOURCE1_SOURCE5 109 0.0049
cd-cl 190.08 1.735   # CORR_SOURCE5 137 0.0076
cd-cx 290.53 1.472   # CORR_SOURCE5 37 0.0035
cd-cy 259.34 1.505   # SOURCE4_SOURCE5 21 0.0007
cd-h4 403.88 1.082   # SOURCE3_SOURCE5 4457 0.0016
cd-h5 403.68 1.082   # SOURCE3_SOURCE5 578 0.0013
cd-ha 400.06 1.084   # SOURCE3_SOURCE5 4706 0.0018
