hw-ow-hw 43.276 104.520   # AMBER 1 TIP3P_water
p2-na-s6 79.617 122.500   # SOURCE3 1
p2-na-s 78.874 121.850   # SOURCE3 1
p2-na-sh 79.900 121.750   # SOURCE3 1
p2-na-ss 79.600 121.880   # SOURCE3 1
p3-na-p3 99.027 126.600   # SOURCE3 1
p3-na-pc 101.182 123.320   # SOURCE3 3 4.1781
p3-na-pd 101.182 123.320   # SOURCE3 3
p5-na-p5 102.554 124.600   # SOURCE3 1
p5-na-pc 102.835 122.690   # SOURCE3 3 3.6738
p5-na-pd 102.835 122.690   # SOURCE3 3
p5-na-ss 81.516 118.520   # SOURCE3 1
pc-na-pc 103.141 120.780   # SOURCE3 27 1.6457
pc-na-s4 78.694 121.510   # SOURCE3 3 2.7242
pc-na-s6 80.329 121.550   # SOURCE3 3 2.7065
pc-na-s 79.371 121.470   # SOURCE3 3 1.0668
pc-na-sh 80.524 121.080   # SOURCE3 3 1.8942
pc-na-ss 80.219 121.200   # SOURCE3 3 1.9295
pd-na-pd 103.141 120.780   # SOURCE3 27
pd-na-s4 78.694 121.510   # SOURCE3 3
pd-na-s6 80.329 121.550   # SOURCE3 3
pd-na-s 79.371 121.470   # SOURCE3 3
pd-na-sh 80.524 121.080   # SOURCE3 3
pd-na-ss 80.219 121.200   # SOURCE3 3
py-na-py 129.638 78.250   # SOURCE3 1
s4-na-s4 59.656 124.200   # SOURCE3 1
s4-na-s6 63.782 112.860   # SOURCE3 1
s4-na-ss 63.885 111.920   # SOURCE3 1
s6-na-s6 62.342 123.200   # SOURCE3 1
s6-na-ss 63.225 119.100   # SOURCE3 1
sh-na-sh 62.052 124.600   # SOURCE3 1
sh-na-ss 63.339 118.790   # SOURCE3 1
s-na-s 60.168 126.000   # SOURCE3 1
s-na-ss 64.260 112.490   # SOURCE3 1
ss-na-ss 64.658 113.240   # SOURCE3 2 6.6084
sy-na-sy 62.187 123.200   # SOURCE3 1
ca-nb-ca 70.356 117.220   # SOURCE3_SOURCE5 3343 1.0306
ca-nb-cp 70.116 118.050   # SOURCE4_SOURCE5 160 0.7542
ca-nb-cq 70.116 118.050   # SOURCE4_SOURCE5 102 0.7384
ca-nb-nb 87.237 120.050   # SOURCE3_SOURCE5 159 0.6095
cp-nb-nb 86.918 120.960   # SOURCE4_SOURCE5 32 0.5601
nb-nb-nb 109.020 121.040   # SOURCE3 1
br-n-br 67.176 116.200   # SOURCE3 1
br-n-c 62.729 121.250   # SOURCE3_SOURCE5 10 1.6266
br-n-ca 63.323 118.190   # SOURCE3 1
br-n-cc 63.525 118.190   # SOURCE3 1
br-n-cd 63.525 118.190   # SOURCE3 1
c1-n-c1 75.677 102.690   # SOURCE3 1
c1-n-ca 68.108 118.880   # SOURCE3 1
c1-n-cc 68.972 118.880   # SOURCE3 1
c1-n-cd 68.972 118.880   # SOURCE3 1
c2-n-c2 67.455 116.750   # SOURCE3 1
c2-n-c3 64.992 120.100   # SOURCE4_SOURCE5 62 2.3796
c2-n-ca 67.208 116.540   # SOURCE3 1
c2-n-cc 67.963 116.540   # SOURCE3 1
c2-n-cd 67.963 116.540   # SOURCE3 1
c2-n-hn 47.988 117.900   # SOURCE4_SOURCE5 115 1.4688
c3-n-c3 64.880 115.640   # SOURCE4_SOURCE5 1017 2.0256
c3-n-ca 64.801 119.830   # SOURCE4_SOURCE5 448 1.9961
c3-n-cc 65.172 120.850   # CORR_SOURCE5 523 1.4176
c3-n-cd 65.172 120.850   # CORR_SOURCE5 523 1.4176
c3-n-cy 64.307 117.080   # SOURCE4_SOURCE5 120 1.3701
c3-n-hn 46.147 117.680   # SOURCE3_SOURCE5 1934 1.5065
c3-n-n2 81.830 121.710   # SOURCE4_SOURCE5 131 1.2251
c3-n-n 82.901 115.390   # SOURCE4_SOURCE5 28 1.0963
c3-n-nc 84.094 115.280   # CORR_SOURCE5 61 0.8561
c3-n-nd 84.094 115.280   # CORR_SOURCE5 61 0.8561
c3-n-oh 83.734 112.970   # SOURCE4_SOURCE5 82 0.8203
c3-n-os 83.821 112.540   # SOURCE4_SOURCE5 42 1.7642
c3-n-sy 62.308 120.880   # SOURCE4_SOURCE5 13 1.1569
ca-n-ca 66.671 117.370   # SOURCE4_SOURCE5 99 1.5139
ca-n-cc 68.390 114.010   # CORR_SOURCE5 53 1.0051
ca-n-cd 68.390 114.010   # CORR_SOURCE5 53 1.0051
ca-n-cl 71.199 117.720   # SOURCE3 1
ca-n-f 86.043 114.920   # SOURCE3 1
ca-n-hn 47.989 116.000   # SOURCE4_SOURCE5 1451 1.8612
ca-n-i 59.954 119.300   # SOURCE3 1
ca-n-n2 83.352 122.020   # SOURCE4_SOURCE5 12 0.9977
ca-n-n4 80.984 122.980   # SOURCE3 1
ca-n-n 83.301 118.550   # SOURCE4_SOURCE5 46 0.3283
ca-n-na 82.957 119.300   # SOURCE4_SOURCE5 47 0.3131
ca-n-nc 85.318 116.500   # CORR_SOURCE5 14 1.6910
ca-n-nd 85.318 116.500   # CORR_SOURCE5 14 1.6910
ca-n-nh 84.129 116.450   # SOURCE3 1
ca-n-p2 83.158 112.320   # SOURCE3 1
ca-n-p3 77.529 125.110   # SOURCE3 1
ca-n-s4 62.152 118.400   # SOURCE3 1
ca-n-s6 63.800 117.320   # SOURCE3 1
ca-n-ss 63.794 116.600   # SOURCE3 1
c-n-c1 69.561 117.040   # SOURCE3 1
c-n-c2 66.426 122.150   # SOURCE3 9 5.1016
c-n-c3 65.252 120.690   # SOURCE3_SOURCE5 4556 2.1510
c3-nc-cd 69.940 109.510   # SOURCE3 9 5.4142
c-n-c 65.616 127.080   # SOURCE4_SOURCE5 1415 2.1363
c-n-ca 65.694 123.710   # SOURCE3 10 3.8159
ca-nc-ca 71.962 109.950   # SOURCE3 1
ca-nc-cd 74.608 104.880   # CORR_SOURCE5 766 1.8814
ca-nc-n 92.070 104.690   # CORR 2
ca-nc-na 93.072 102.760   # CORR_SOURCE5 25 0.7558
ca-nc-os 90.719 104.480   # CORR_SOURCE5 16 0.1832
ca-nc-ss 70.369 107.070   # SOURCE3_SOURCE5 17 0.3771
c-n-cc 66.579 123.270   # SOURCE3_SOURCE5 805 2.2636
c-nc-ca 67.794 120.660   # CORR 2
cc-n-cc 70.783 108.920   # SOURCE3 11 0.3167
cc-nc-cc 73.120 103.760   # CORR_SOURCE5 6 0.0439
cc-nc-cd 73.871 105.490   # CORR_SOURCE5 1810 1.9032
c-nc-cd 68.639 120.490   # CORR_SOURCE5 205 1.1318
cc-n-cl 71.592 117.720   # SOURCE3 1
cc-nc-na 92.369 102.970   # SOURCE3 1
cc-nc-nd 91.732 108.620   # SOURCE3_SOURCE5 82 1.5614
c-n-cd 66.579 123.270   # SOURCE3_SOURCE5 805 2.2636
cd-nc-cd 71.496 117.300   # CORR_SOURCE5 18 0.3907
cd-nc-n 88.099 117.190   # CORR 64
cd-nc-na 93.753 103.820   # SOURCE3_SOURCE5 919 1.7445
cd-nc-nc 91.676 107.820   # CORR_SOURCE5 457 1.5268
cd-nc-os 91.671 104.670   # CORR_SOURCE5 184 0.8204
cd-nc-ss 70.508 108.070   # CORR_SOURCE5 95 1.3804
c-n-ce 63.457 131.380   # SOURCE4_SOURCE5 371 1.5975
cc-n-f 87.015 114.920   # SOURCE3 1
cc-n-hn 48.285 119.260   # CORR_SOURCE5 459 1.7223
cc-n-i 59.973 119.300   # SOURCE3 1
c-n-cl 72.034 116.350   # SOURCE4 11 0.6829
cc-n-n2 88.496 110.870   # SOURCE3 1
cc-n-n 83.245 121.370   # SOURCE3 1
cc-n-na 84.492 117.570   # SOURCE3 1
cc-n-nc 88.107 111.890   # CORR_SOURCE5 20 0.7095
cc-n-nh 84.683 117.520   # SOURCE3 1
cc-n-no 83.522 115.920   # SOURCE3 1
cc-n-o 88.192 120.540   # SOURCE3 1
cc-n-oh 83.905 119.300   # SOURCE3_SOURCE5 7 0.3237
cc-n-os 85.167 115.560   # SOURCE3 1
cc-n-p2 83.596 112.320   # SOURCE3 1
cc-n-p3 77.892 125.110   # SOURCE3 1
cc-n-p5 81.119 121.000   # SOURCE3 1
cc-n-s4 62.446 118.400   # SOURCE3 1
cc-n-s6 64.150 117.320   # SOURCE3 1
cc-n-s 62.506 118.290   # SOURCE3 1
cc-n-sh 63.393 119.130   # SOURCE3 1
cc-n-ss 64.137 116.600   # SOURCE3 2
c-n-cx 65.394 122.070   # SOURCE4 11 1.9478
c-n-cy 73.625 94.220   # SOURCE4_SOURCE5 674 1.8186
cd-n-cd 70.783 108.920   # SOURCE3 11
cd-n-cl 71.592 117.720   # SOURCE3 1
cd-n-f 87.015 114.920   # SOURCE3 1
cd-n-hn 48.285 119.260   # CORR_SOURCE5 459 1.7223
cd-n-i 59.973 119.300   # SOURCE3 1
cd-n-n2 88.496 110.870   # SOURCE3 1
cd-n-n 83.245 121.370   # SOURCE3 1
cd-n-na 84.492 117.570   # SOURCE3 1
cd-n-nd 88.107 111.890   # CORR_SOURCE5 20 0.7095
cd-n-nh 84.683 117.520   # SOURCE3 1
cd-n-no 83.522 115.920   # SOURCE3 1
cd-n-o 88.192 120.540   # SOURCE3 1
cd-n-oh 83.905 119.300   # SOURCE3_SOURCE5 7 0.3237
cd-n-os 85.167 115.560   # SOURCE3 1
cd-n-p2 83.596 112.320   # SOURCE3 1
cd-n-p3 77.892 125.110   # SOURCE3 1
cd-n-p5 81.119 121.000   # SOURCE3 1
cd-n-s4 62.446 118.400   # SOURCE3 1
cd-n-s6 64.150 117.320   # SOURCE3 1
cd-n-s 62.506 118.290   # SOURCE3 1
cd-n-sh 63.393 119.130   # SOURCE3 1
cd-n-ss 64.137 116.600   # SOURCE3 2 1.8318
ce-n-cy 66.660 111.710   # CORR_SOURCE5 226 2.0477
c-n-f 89.555 108.630   # SOURCE3 3 4.6785
cf-n-cy 66.660 111.710   # CORR_SOURCE5 226 2.0477
c-n-hn 48.691 117.550   # SOURCE3_SOURCE5 5866 1.6058
c-n-i 59.703 120.380   # SOURCE3 5 2.1600
cl-n-cl 81.959 111.690   # SOURCE3 1
c-n-n2 85.152 119.910   # SOURCE3_SOURCE5 237 1.7782
c-n-n3 83.740 120.100   # SOURCE3_SOURCE5 90 1.4705
c-n-n4 85.688 112.320   # SOURCE3 5 1.2622
c-n-n 84.328 118.420   # SOURCE3 10 2.8922
c-n-na 86.815 111.500   # SOURCE3_SOURCE5 60 1.0005
na-nc-nd 116.802 106.240   # SOURCE3_SOURCE5 145 0.6824
c-n-nc 83.462 124.860   # CORR_SOURCE5 117 2.2930
nc-nc-nd 113.624 111.460   # CORR_SOURCE5 97 0.5962
c-n-nd 83.462 124.860   # CORR_SOURCE5 117 2.2930
nd-nc-os 114.084 107.220   # SOURCE3 3 0.4707
c-n-nh 84.310 118.710   # SOURCE4_SOURCE5 52 1.7764
c-n-no 82.773 118.160   # SOURCE3 4 5.4870
c-n-o 89.074 118.360   # SOURCE3_SOURCE5 14 3.9188
c-n-oh 85.324 115.510   # SOURCE3_SOURCE5 128 0.8808
c-n-os 86.126 113.140   # SOURCE3 7 3.0839
c-n-p2 79.405 124.560   # SOURCE3 8 3.6907
c-n-p3 78.725 122.540   # SOURCE3 9 4.4802
c-n-p4 79.728 123.440   # SOURCE3 1
c-n-p5 78.739 128.500   # SOURCE4 6 0.5353
c-n-pc 79.905 122.230   # SOURCE3 3 2.8787
c-n-pd 79.905 122.230   # SOURCE3 3
c-n-s4 61.938 120.410   # SOURCE3 4 3.1760
c-n-s6 62.226 124.760   # SOURCE4_SOURCE5 44 1.7490
c-n-s 60.447 126.550   # SOURCE3 3 4.3365
c-n-sh 63.302 119.540   # SOURCE3 4 1.7681
c-n-ss 62.795 121.710   # SOURCE3_SOURCE5 23 1.8428
c-n-sy 62.308 124.690   # SOURCE4_SOURCE5 124 1.1647
cx-n-hn 46.588 118.500   # SOURCE4_SOURCE5 12 0.6959
cx-n-os 121.869 54.040   # SOURCE3 1
cy-n-hn 45.639 119.110   # SOURCE4_SOURCE5 156 1.4586
c3-nd-cc 69.940 109.510   # SOURCE3 9
ca-nd-ca 71.962 109.950   # SOURCE3 1
ca-nd-cc 74.608 104.880   # CORR_SOURCE5 766 1.8814
ca-nd-n 92.070 104.690   # CORR 2
ca-nd-na 93.131 102.760   # CORR_SOURCE5 25 0.7558
ca-nd-nc 92.520 108.340   # SOURCE4_SOURCE5 23 0.2293
ca-nd-os 90.719 104.480   # CORR_SOURCE5 16 0.1832
ca-nd-ss 70.369 107.070   # SOURCE3_SOURCE5 17 0.3771
c-nd-ca 67.794 120.660   # CORR 2
c-nd-cc 68.639 120.490   # CORR_SOURCE5 205 1.1318
cc-nd-cc 71.496 117.300   # CORR_SOURCE5 18 0.3907
cc-nd-cd 73.871 105.490   # CORR_SOURCE5 1810 1.9032
cc-nd-n 88.099 117.190   # CORR 64
cc-nd-na 93.815 103.820   # SOURCE3_SOURCE5 919 1.7445
cc-nd-nd 91.676 107.820   # CORR_SOURCE5 457 1.5268
cc-nd-os 91.671 104.670   # CORR_SOURCE5 184 0.8204
cc-nd-ss 70.508 108.070   # CORR_SOURCE5 95 1.3804
cd-nd-cd 73.120 103.760   # CORR_SOURCE5 6 0.0439
cd-nd-na 92.426 102.970   # SOURCE3 1
cd-nd-nc 91.732 108.620   # SOURCE3_SOURCE5 82 1.5614
na-nd-nc 116.883 106.240   # SOURCE3_SOURCE5 145 0.6824
nc-nd-nd 113.624 111.460   # CORR_SOURCE5 97 0.5962
nc-nd-os 114.084 107.220   # SOURCE3 3
c1-ne-ca 62.618 151.950   # CORR_SOURCE5 15 1.4352
c1-ne-cg 67.861 140.000   # SOURCE2 1
c2-ne-ca 68.492 120.830   # CORR_SOURCE5 103 1.9474
c2-ne-ce 70.313 116.010   # SOURCE3_SOURCE5 34 2.0813
c2-ne-cg 70.178 123.230   # SOURCE4_SOURCE5 39 1.0918
c2-ne-n2 93.623 113.310   # SOURCE3 1
c2-ne-ne 88.990 110.860   # SOURCE3 7 4.5874
c2-ne-p2 84.105 134.030   # SOURCE3 1
c2-ne-pe 82.533 120.520   # SOURCE3 8 8.1381
c2-ne-px 83.910 117.750   # SOURCE3 5 0.8581
c2-ne-py 88.230 117.040   # SOURCE3 3 1.4398
c2-ne-sx 62.652 111.980   # SOURCE3 3 0.4090
c2-ne-sy 65.555 120.600   # CORR_SOURCE5 19 1.1215
ca-ne-cf 68.142 121.710   # CORR_SOURCE5 29 1.8572
ca-ne-n2 88.697 114.350   # CORR_SOURCE5 15 1.3133
ca-ne-nf 88.592 115.170   # CORR_SOURCE5 98 0.8636
ca-ne-o 89.200 115.690   # SOURCE3_SOURCE5 18 1.7090
ca-ne-p2 87.186 118.090   # SOURCE3 1
ca-ne-s 68.068 120.110   # SOURCE3 1
c-ne-c2 69.660 118.530   # CORR 6
ce-ne-n2 90.497 111.190   # SOURCE3 1
ce-ne-o 91.180 112.160   # SOURCE3 1
ce-ne-p2 87.896 117.020   # SOURCE3 1
ce-ne-s 69.440 116.280   # SOURCE3 1
cg-ne-n1 90.226 120.200   # SOURCE2 1
cg-ne-n2 92.273 113.390   # SOURCE3 1
cg-ne-o 93.028 114.700   # SOURCE2 1
cg-ne-p2 88.388 119.570   # SOURCE3 1
cg-ne-s 70.232 117.700   # SOURCE3 1
c-ne-sy 65.604 116.430   # SOURCE4_SOURCE5 16 1.7300
n2-ne-n2 121.491 107.220   # SOURCE3 1
n2-ne-ne 112.157 110.720   # SOURCE3 9 6.1488
n2-ne-o 119.624 114.100   # SOURCE3 1
n2-ne-p2 116.902 109.660   # SOURCE3 1
n2-ne-pe 107.386 112.150   # SOURCE3 7 6.5273
n2-ne-px 106.135 115.970   # SOURCE3 3 1.9854
n2-ne-py 112.046 114.600   # SOURCE3 3 2.9261
n2-ne-s 89.721 115.900   # SOURCE3 1
n2-ne-sx 80.235 107.290   # SOURCE3 1
n2-ne-sy 85.721 111.210   # SOURCE3 1
ne-ne-o 113.544 110.450   # SOURCE3 10 1.8535
ne-ne-p2 110.510 114.390   # SOURCE3 6 4.0528
ne-ne-s 86.406 115.950   # SOURCE3 6 3.4604
o-ne-o 116.666 124.090   # SOURCE3 2 8.7534
o-ne-pe 99.245 132.320   # SOURCE3 11 23.9559
o-ne-px 109.115 110.620   # SOURCE3 1
o-ne-py 114.678 110.790   # SOURCE3 4 1.6818
o-ne-s 89.941 117.190   # SOURCE3 2 0.0225
o-ne-sx 79.732 108.920   # SOURCE3 1
o-ne-sy 86.078 111.340   # SOURCE3 1
p2-ne-pe 110.473 116.810   # SOURCE3 1
p2-ne-px 105.767 128.350   # SOURCE3 1
p2-ne-py 111.507 123.470   # SOURCE3 1
p2-ne-sx 83.857 112.120   # SOURCE3 1
p2-ne-sy 87.708 115.730   # SOURCE3 1
pe-ne-s 87.031 115.730   # SOURCE3 1
px-ne-s 81.843 131.840   # SOURCE3 1
py-ne-s 90.262 116.180   # SOURCE3 4 3.7135
s-ne-s 70.545 120.870   # SOURCE3 1
s-ne-sx 65.416 112.960   # SOURCE3 1
s-ne-sy 67.679 119.630   # SOURCE3 1
c1-nf-ca 62.618 151.950   # CORR_SOURCE5 15 1.4352
c1-nf-ch 67.861 140.000   # SOURCE2 1
c2-nf-ca 68.492 120.830   # CORR_SOURCE5 103 1.9474
c2-nf-cf 70.313 116.010   # SOURCE3_SOURCE5 31 2.1630
c2-nf-n2 93.623 113.310   # SOURCE3 1
c2-nf-nf 88.990 110.860   # SOURCE3 7
c2-nf-p2 84.105 134.030   # SOURCE3 1
c2-nf-pf 82.533 120.520   # SOURCE3 8
c2-nf-px 83.910 117.750   # SOURCE3 5
c2-nf-py 88.230 117.040   # SOURCE3 3
c2-nf-sx 62.652 111.980   # SOURCE3 3
c2-nf-sy 65.555 120.600   # CORR_SOURCE5 19 1.1215
ca-nf-ce 68.142 121.710   # CORR_SOURCE5 29 1.8572
ca-nf-n2 88.697 114.350   # CORR_SOURCE5 15 1.3133
ca-nf-ne 88.592 115.170   # CORR_SOURCE5 98 0.8636
ca-nf-o 89.200 115.690   # SOURCE3_SOURCE5 15 1.8257
ca-nf-p2 87.186 118.090   # SOURCE3 1
ca-nf-s 68.068 120.110   # SOURCE3 1
c-nf-c2 69.660 118.530   # CORR 6
cf-nf-n2 90.497 111.190   # SOURCE3 1
cf-nf-o 91.180 112.160   # SOURCE3 1
cf-nf-p2 87.896 117.020   # SOURCE3 1
cf-nf-s 69.440 116.280   # SOURCE3 1
ch-nf-n1 90.226 120.200   # SOURCE2 1
ch-nf-n2 92.273 113.390   # SOURCE3 1
ch-nf-o 93.028 114.700   # SOURCE2 1
ch-nf-p2 88.388 119.570   # SOURCE3 1
ch-nf-s 70.232 117.700   # SOURCE3 1
f-n-f 116.092 102.980   # SOURCE3 1
n2-nf-n2 121.491 107.220   # SOURCE3 1
n2-nf-nf 112.157 110.720   # SOURCE3 9
n2-nf-o 119.624 114.100   # SOURCE3 1
n2-nf-p2 116.902 109.660   # SOURCE3 1
n2-nf-pf 107.386 112.150   # SOURCE3 7
n2-nf-px 106.135 115.970   # SOURCE3 3
n2-nf-py 112.046 114.600   # SOURCE3 3
n2-nf-s 89.721 115.900   # SOURCE3 1
n2-nf-sx 80.235 107.290   # SOURCE3 1
n2-nf-sy 85.721 111.210   # SOURCE3 1
nf-nf-o 113.544 110.450   # SOURCE3 10
nf-nf-p2 110.510 114.390   # SOURCE3 6
nf-nf-s 86.406 115.950   # SOURCE3 6
o-nf-o 116.666 124.090   # SOURCE3 2
o-nf-pf 99.245 132.320   # SOURCE3 11
o-nf-px 109.115 110.620   # SOURCE3 1
o-nf-py 114.678 110.790   # SOURCE3 4
o-nf-s 89.941 117.190   # SOURCE3 2
o-nf-sx 79.732 108.920   # SOURCE3 1
o-nf-sy 86.078 111.340   # SOURCE3 1
p2-nf-pf 110.473 116.810   # SOURCE3 1
p2-nf-px 105.767 128.350   # SOURCE3 1
p2-nf-py 111.507 123.470   # SOURCE3 1
p2-nf-sx 83.857 112.120   # SOURCE3 1
p2-nf-sy 87.708 115.730   # SOURCE3 1
pf-nf-s 87.031 115.730   # SOURCE3 1
px-nf-s 81.843 131.840   # SOURCE3 1
py-nf-s 90.262 116.180   # SOURCE3 4
s-nf-s 70.545 120.870   # SOURCE3 1
s-nf-sx 65.416 112.960   # SOURCE3 1
s-nf-sy 67.679 119.630   # SOURCE3 1
br-nh-br 67.679 106.270   # SOURCE3 1
br-nh-ca 63.138 111.880   # SOURCE3 1
br-nh-hn 41.986 101.560   # SOURCE3 1
c1-nh-c1 70.255 116.980   # SOURCE3 1
c1-nh-c2 67.255 123.350   # SOURCE4_SOURCE5 17 1.3108
c1-nh-ca 67.561 122.360   # SOURCE3 3 1.2016
c1-nh-hn 49.868 117.400   # SOURCE4_SOURCE5 22 0.6517
c2-nh-c2 65.835 124.730   # SOURCE4_SOURCE5 107 1.4158
c2-nh-c3 64.232 123.710   # SOURCE3 8 3.5348
c2-nh-ca 65.131 127.560   # SOURCE4_SOURCE5 258 2.3985
c2-nh-cc 65.733 126.350   # CORR_SOURCE5 14 0.8394
c2-nh-cd 65.733 126.350   # CORR_SOURCE5 14 0.8394
c2-nh-cx 64.299 124.350   # SOURCE4_SOURCE5 21 1.6877
c2-nh-hn 48.954 115.090   # SOURCE4_SOURCE5 2743 1.5424
c2-nh-n2 85.013 120.220   # SOURCE4_SOURCE5 101 1.0922
c2-nh-n3 84.289 116.870   # SOURCE4_SOURCE5 35 1.4173
c2-nh-no 82.173 125.620   # SOURCE4_SOURCE5 19 0.8850
c2-nh-oh 86.014 112.180   # SOURCE4_SOURCE5 38 1.3409
c2-nh-os 85.749 112.950   # SOURCE4_SOURCE5 14 0.4455
c2-nh-sy 63.190 121.130   # SOURCE4_SOURCE5 20 0.5133
c3-nh-c3 65.106 114.510   # SOURCE4_SOURCE5 1386 2.1206
c3-nh-ca 65.249 119.980   # SOURCE3_SOURCE5 1640 2.1716
c3-nh-cc 65.571 119.720   # CORR_SOURCE5 638 2.4802
c3-nh-cd 65.571 119.720   # CORR_SOURCE5 638 2.4802
c3-nh-cf 65.126 120.120   # SOURCE4_SOURCE5 52 2.0459
c3-nh-cz 64.716 125.460   # SOURCE4_SOURCE5 25 0.5651
c3-nh-hn 46.421 115.990   # SOURCE3_SOURCE5 1206 1.7716
c3-nh-n2 85.302 112.350   # SOURCE3 9 4.0058
c3-nh-n 84.428 111.270   # SOURCE4_SOURCE5 20 2.2657
c3-nh-na 84.049 112.390   # SOURCE4_SOURCE5 18 1.3421
c3-nh-p2 80.321 123.350   # SOURCE3 1
c3-nh-sy 63.547 116.320   # SOURCE4_SOURCE5 31 1.3018
ca-nh-ca 65.187 127.460   # SOURCE3 2 0.0002
ca-nh-cc 64.885 129.800   # CORR_SOURCE5 49 1.2126
ca-nh-cd 64.885 129.800   # CORR_SOURCE5 49 1.2126
ca-nh-cl 71.441 113.150   # SOURCE3 1
ca-nh-cx 64.495 123.700   # SOURCE4_SOURCE5 80 0.6122
ca-nh-f 89.432 106.090   # SOURCE3 3 1.0660
ca-nh-hn 48.787 116.070   # SOURCE4_SOURCE5 5026 1.3182
ca-nh-i 58.875 117.830   # SOURCE3 1
ca-nh-n1 86.539 117.130   # HF/6-31G* 1
ca-nh-n2 84.736 121.130   # SOURCE4_SOURCE5 61 1.2262
ca-nh-n3 83.982 117.830   # SOURCE3_SOURCE5 31 1.9504
ca-nh-n4 85.682 108.940   # SOURCE3 5 0.6562
ca-nh-n 85.070 116.030   # SOURCE4_SOURCE5 31 1.0216
ca-nh-na 85.145 115.960   # SOURCE3_SOURCE5 14 0.6985
ca-nh-nh 85.491 114.840   # SOURCE3_SOURCE5 14 1.2270
ca-nh-no 86.330 113.920   # SOURCE3 4 2.9561
ca-nh-o 86.968 121.920   # SOURCE3 2 3.9630
ca-nh-oh 85.751 112.970   # SOURCE3_SOURCE5 7 0.3980
ca-nh-os 86.208 111.850   # SOURCE3_SOURCE5 8 0.6032
ca-nh-p2 81.008 125.270   # SOURCE3 8 5.1798
ca-nh-p3 79.062 125.700   # SOURCE3 3 5.7796
ca-nh-p4 80.454 124.010   # SOURCE3 3 2.5810
ca-nh-p5 80.367 128.170   # SOURCE3_SOURCE5 9 0.9847
ca-nh-s4 63.691 115.620   # SOURCE3 3 0.3434
ca-nh-s6 63.224 122.850   # SOURCE4_SOURCE5 92 2.1278
ca-nh-s 60.896 122.540   # SOURCE3 3 2.7001
ca-nh-sh 63.303 121.410   # SOURCE3 1
ca-nh-ss 63.248 121.500   # SOURCE3 3 2.6255
ca-nh-sy 62.161 125.230   # SOURCE4_SOURCE5 116 1.6241
cc-nh-cx 64.747 123.700   # CORR_SOURCE5 82 1.6057
cc-nh-hn 49.267 115.630   # SOURCE3_SOURCE5 1084 1.8598
cc-nh-n2 85.504 120.090   # SOURCE4_SOURCE5 21 1.0306
cc-nh-sy 62.976 122.520   # SOURCE4_SOURCE5 60 1.2839
cd-nh-cx 64.747 123.700   # CORR_SOURCE5 82 1.6057
cd-nh-hn 49.267 115.630   # SOURCE3_SOURCE5 1084 1.8598
ce-nh-hn 48.739 115.680   # CORR_SOURCE5 360 1.2286
ce-nh-o 84.249 129.430   # CORR 2
ce-nh-sy 65.279 113.390   # SOURCE4_SOURCE5 15 1.0862
cf-nh-hn 48.739 115.680   # CORR_SOURCE5 360 1.2286
cf-nh-o 84.249 129.430   # CORR 2
cl-nh-cl 81.661 106.600   # SOURCE3 1
cl-nh-hn 48.722 104.140   # SOURCE3 1
cx-nh-cx 89.045 62.010   # SOURCE4_SOURCE5 98 0.5911
cx-nh-hn 46.132 118.880   # SOURCE4_SOURCE5 23 0.1930
cz-nh-hn 49.192 121.150   # SOURCE4_SOURCE5 116 0.7805
f-nh-f 114.444 101.700   # SOURCE3 1
f-nh-hn 64.681 101.230   # SOURCE3 1
hn-nh-hn 39.519 115.120   # SOURCE4_SOURCE5 3024 2.1393
hn-nh-i 37.873 107.570   # SOURCE3 1
hn-nh-n1 64.440 110.570   # HF/6-31G* 1
hn-nh-n2 61.856 118.140   # SOURCE4_SOURCE5 220 2.1956
hn-nh-n3 60.496 113.970   # SOURCE3_SOURCE5 53 1.8422
hn-nh-n4 61.193 104.400   # SOURCE3 3 0.5056
hn-nh-n 62.655 108.170   # SOURCE4_SOURCE5 39 1.1076
hn-nh-na 62.699 108.240   # SOURCE3_SOURCE5 48 1.3913
hn-nh-nh 61.867 110.860   # SOURCE4_SOURCE5 20 1.2814
hn-nh-no 62.754 109.940   # SOURCE4_SOURCE5 17 0.1843
hn-nh-o 65.877 116.450   # SOURCE3 2 0.6063
hn-nh-oh 62.561 106.490   # SOURCE4_SOURCE5 45 1.2492
hn-nh-os 62.721 106.070   # SOURCE3_SOURCE5 11 1.1257
hn-nh-p2 55.498 118.180   # SOURCE3 21 3.6927
hn-nh-p3 54.152 116.190   # SOURCE3 3 3.0539
hn-nh-p4 55.870 112.600   # SOURCE3 3 0.8237
hn-nh-p5 56.530 115.090   # SOURCE3_SOURCE5 12 1.4234
hn-nh-s4 43.338 107.480   # SOURCE3 3 1.3960
hn-nh-s 41.075 114.370   # SOURCE3 1
hn-nh-s6 44.306 109.920   # SOURCE4_SOURCE5 70 0.7219
hn-nh-sh 43.546 112.250   # SOURCE3 1
hn-nh-ss 43.161 114.100   # SOURCE3_SOURCE5 9 0.8638
hn-nh-sy 43.636 110.910   # SOURCE4_SOURCE5 174 1.2855
i-nh-i 65.204 115.820   # SOURCE3 1
n1-nh-n1 115.547 106.710   # HF/6-31G* 1
n2-nh-n2 109.104 117.500   # SOURCE3 2 1.1907
n2-nh-n3 105.802 119.060   # SOURCE3_SOURCE5 5 1.1057
n2-nh-o 108.688 126.060   # SOURCE3 1
