hw-ow-hw 43.276 104.520   # AMBER 1 TIP3P_water
c2-c3-os 85.982 108.560   # SOURCE4_SOURCE5 763 1.7474
c2-c3-s4 63.867 109.890   # SOURCE4_SOURCE5 19 0.8365
c2-c3-ss 65.117 104.970   # SOURCE3 2 2.2248
c3-c3-c3 64.888 111.510   # SOURCE3_SOURCE5 61999 1.8007
c3-c3-ca 65.183 112.070   # SOURCE4_SOURCE5 11982 1.5875
c3-c3-cc 65.515 111.930   # CORR_SOURCE5 2280 1.5614
c3-c3-cd 65.515 111.930   # CORR_SOURCE5 2280 1.5614
c3-c3-ce 65.514 110.920   # CORR_SOURCE5 1159 1.8552
c3-c3-cf 65.518 110.920   # CORR_SOURCE5 1159 1.8552
c3-c3-cl 71.515 110.410   # SOURCE3_SOURCE5 824 0.9824
c3-c3-cx 65.198 111.820   # SOURCE4 179 2.4814
c3-c3-cy 64.751 112.390   # SOURCE3_SOURCE5 322 1.3623
c3-c3-f 87.947 109.240   # SOURCE3_SOURCE5 785 1.1106
c3-c3-h1 46.868 109.560   # SOURCE3_SOURCE5 55294 0.8125
c3-c3-h2 46.730 110.220   # SOURCE3_SOURCE5 1083 0.9457
c3-c3-hc 46.816 109.800   # SOURCE3_SOURCE5 179054 0.7972
c3-c3-hx 46.677 110.560   # SOURCE3_SOURCE5 1758 0.9658
c3-c3-i 60.771 111.150   # SOURCE3_SOURCE5 48 1.3033
c3-c3-n1 84.875 108.980   # SOURCE4_SOURCE5 20 0.8416
c3-c3-n2 84.123 108.800   # SOURCE3_SOURCE5 665 2.1214
c3-c3-n3 83.305 111.040   # SOURCE3_SOURCE5 12086 1.5519
c3-c3-n4 80.976 114.210   # SOURCE4_SOURCE5 1537 2.4293
c3-c3-n 83.161 111.610   # SOURCE3_SOURCE5 3543 1.6672
c3-c3-na 82.668 112.880   # SOURCE4_SOURCE5 1677 1.4742
c3-c3-nh 83.541 110.460   # SOURCE4_SOURCE5 3983 1.4189
c3-c3-no 82.142 109.410   # SOURCE4_SOURCE5 111 1.3831
c3-c3-o 85.929 113.010   # SOURCE4_SOURCE5 31 1.2728
c3-c3-oh 84.642 110.190   # SOURCE3_SOURCE5 10188 1.4761
c3-c3-os 85.306 107.970   # SOURCE3_SOURCE5 11384 1.3754
c3-c3-p3 79.425 113.360   # SOURCE4_SOURCE5 47 0.9033
c3-c3-p5 80.490 112.020   # SOURCE4_SOURCE5 346 1.5599
c3-c3-s4 63.481 110.120   # SOURCE4_SOURCE5 117 0.9869
c3-c3-s6 64.024 110.220   # SOURCE4_SOURCE5 420 1.6420
c3-c3-sh 62.313 113.130   # SOURCE4_SOURCE5 226 1.3868
c3-c3-ss 63.222 110.270   # SOURCE3_SOURCE5 1315 1.5441
c3-c3-sy 64.081 109.920   # SOURCE4_SOURCE5 62 0.8825
ca-c3-ca 65.611 112.240   # SOURCE4_SOURCE5 1062 1.7394
ca-c3-cc 65.728 112.880   # CORR_SOURCE5 146 1.4369
ca-c3-cd 65.728 112.880   # CORR_SOURCE5 146 1.4369
ca-c3-ce 65.614 112.210   # SOURCE4_SOURCE5 144 1.2359
ca-c3-cl 71.631 110.980   # SOURCE4_SOURCE5 62 0.7657
ca-c3-cx 65.472 112.510   # SOURCE4_SOURCE5 24 2.0281
ca-c3-f 87.765 111.770   # SOURCE4_SOURCE5 1080 0.3344
ca-c3-h1 47.477 109.560   # SOURCE3_SOURCE5 3349 0.8812
ca-c3-h2 47.451 109.700   # SOURCE4_SOURCE5 86 1.1507
ca-c3-hc 47.281 110.470   # SOURCE3_SOURCE5 13973 0.8325
ca-c3-hx 47.099 111.450   # SOURCE4_SOURCE5 113 0.5046
ca-c3-n2 83.424 112.390   # SOURCE4_SOURCE5 58 1.2061
ca-c3-n3 83.546 112.160   # SOURCE4_SOURCE5 1125 1.2435
ca-c3-n4 81.721 113.800   # SOURCE4_SOURCE5 79 2.4049
ca-c3-n 83.537 112.380   # SOURCE4_SOURCE5 512 1.5411
ca-c3-na 83.330 112.870   # SOURCE4_SOURCE5 240 1.5673
ca-c3-nc 85.966 106.510   # SOURCE3 1
ca-c3-nd 85.966 106.510   # SOURCE3 1
ca-c3-nh 83.853 111.390   # SOURCE4_SOURCE5 349 0.9955
ca-c3-oh 85.192 110.620   # SOURCE4_SOURCE5 1007 1.2078
ca-c3-os 85.631 108.950   # SOURCE4_SOURCE5 1123 1.1238
ca-c3-p5 80.237 113.600   # SOURCE4_SOURCE5 41 1.4171
ca-c3-s6 63.909 111.540   # SOURCE4_SOURCE5 38 1.2112
ca-c3-ss 63.252 111.020   # SOURCE4_SOURCE5 226 1.6105
ca-c3-sx 63.255 110.780   # SOURCE4_SOURCE5 40 0.6145
c-c3-c1 66.399 112.380   # SOURCE4_SOURCE5 32 1.1114
c-c3-c2 65.824 111.330   # SOURCE4_SOURCE5 282 2.0882
c-c3-c3 65.307 111.040   # SOURCE3_SOURCE5 8161 1.7693
c-c3-c 65.424 111.630   # SOURCE4_SOURCE5 409 2.2030
c-c3-ca 65.788 111.010   # SOURCE4_SOURCE5 1282 1.7239
c-c3-cc 65.455 113.170   # CORR_SOURCE5 164 1.3730
cc-c3-cc 66.183 112.390   # CORR_SOURCE5 14 0.8688
cc-c3-cd 66.037 112.890   # SOURCE3_SOURCE5 10 1.0674
cc-c3-cx 65.894 112.100   # SOURCE4_SOURCE5 12 1.5999
c-c3-cd 65.455 113.170   # CORR_SOURCE5 164 1.3730
c-c3-ce 65.523 111.890   # SOURCE4_SOURCE5 75 1.6968
cc-c3-f 88.472 111.310   # CORR_SOURCE5 105 0.4710
cc-c3-h1 47.855 109.640   # SOURCE3_SOURCE5 1145 0.8896
cc-c3-hc 47.671 110.490   # SOURCE3_SOURCE5 6781 0.7714
cc-c3-hx 47.588 111.010   # SOURCE4_SOURCE5 19 0.7303
c-c3-cl 71.700 110.410   # SOURCE4_SOURCE5 146 1.5057
cc-c3-n2 84.630 110.310   # SOURCE4_SOURCE5 32 0.5465
cc-c3-n3 84.370 111.090   # CORR_SOURCE5 192 1.4026
cc-c3-n4 81.467 115.580   # SOURCE4_SOURCE5 12 1.1723
cc-c3-n 84.192 111.760   # CORR_SOURCE5 51 1.5321
cc-c3-na 83.647 113.150   # SOURCE4_SOURCE5 18 0.7152
cc-c3-nc 86.190 107.040   # SOURCE3 2
cc-c3-nh 83.918 112.340   # CORR_SOURCE5 25 1.8212
cc-c3-oh 85.441 111.160   # CORR_SOURCE5 187 1.3741
cc-c3-os 86.104 108.900   # CORR_SOURCE5 213 1.1488
cc-c3-p5 79.513 116.230   # SOURCE4_SOURCE5 12 0.7766
cc-c3-sh 62.454 114.020   # SOURCE3 1
cc-c3-ss 63.363 111.160   # CORR_SOURCE5 65 0.8483
c-c3-cx 65.687 111.150   # SOURCE4_SOURCE5 48 1.8520
cd-c3-cd 66.183 112.390   # CORR_SOURCE5 14 0.8688
cd-c3-f 88.472 111.310   # CORR_SOURCE5 105 0.4710
cd-c3-h1 47.855 109.640   # SOURCE3_SOURCE5 1145 0.8896
cd-c3-hc 47.671 110.490   # SOURCE3_SOURCE5 6781 0.7714
cd-c3-n3 84.370 111.090   # CORR_SOURCE5 192 1.4026
cd-c3-n 84.192 111.760   # CORR_SOURCE5 51 1.5321
cd-c3-nd 86.190 107.040   # SOURCE3 2
cd-c3-nh 83.918 112.340   # CORR_SOURCE5 25 1.8212
cd-c3-oh 85.441 111.160   # CORR_SOURCE5 187 1.3741
cd-c3-os 86.104 108.900   # CORR_SOURCE5 213 1.1488
cd-c3-sh 62.454 114.020   # SOURCE3 1
cd-c3-ss 63.363 111.160   # CORR_SOURCE5 65 0.8483
